1974   5    77911.0000
1971   4    72189.0000
2001   9    76323.0000
2004   10   68530.0000
2015   11   4105.0000
1979   6    35760.0000
2009   11   58404.0000
1985   7    31098.0000
1955   2    8239.0000
1966   3    77628.0000
1996   8    70226.0000
2007   10   75451.0000
2015   12   55800.0000
1952   1    75529.0000
1982   6    79252.0000
1977   5    70163.0000
2012   11   71177.0000
1958   2    68966.0000
1955   1    68221.0000
1985   6    31485.0000
1963   3    77754.0000
1993   8    60573.0000
1969   4    66698.0000
1983   6    70093.0000
2013   11   68543.0000
1991   7    31311.0000
1999   9    58583.0000
1964   3    79223.0000
1961   2    56812.0000
1994   8    70616.0000
2002   9    73835.0000
1972   4    78777.0000
1950   1    74991.0000
1980   6    54572.0000
2010   11   62674.0000
1961   3    10270.0000
1991   8    44436.0000
2018   12   72802.0000
1988   7    75352.0000
1953   1    65907.0000
1967   3    46112.0000
1973   4    34072.0000
2008   10   57766.0000
1951   1    76318.0000
2003   9    19273.0000
2016   12   67207.0000
1981   6    74696.0000
2011   11   72511.0000
1978   5    71204.0000
1959   2    62301.0000
1989   7    72155.0000
1954   1    65405.0000
1967   4    17245.0000
2019   12   76289.0000
1997   9    51439.0000
1975   5    81442.0000
2005   10   73299.0000
1970   4    59767.0000
1986   7    64454.0000
2000   9    73425.0000
1997   8    19049.0000
1956   2    64263.0000
1976   5    75684.0000
2006   10   71995.0000
1992   8    77110.0000
1962   3    70716.0000
1987   7    82390.0000
2017   12   65065.0000
1957   2    71748.0000
2003   10   64606.0000
2014   11   68821.0000
1984   6    85730.0000
1973   5    21143.0000
1979   5    45741.0000
2009   10   12714.0000
1960   2    74614.0000
1990   7    63402.0000
2020   12   70440.0000
1968   4    81938.0000
1998   9    74211.0000
1965   3    65053.0000
1995   8    61548.0000
